Row,IsBetaEasy
scenario1,1
scenario2,1
scenario3,1
scenario4,1
scenario5,1
scenario6,1
scenario7,1
scenario8,1
scenario9,1
scenario10,0
scenario11,0
scenario12,1
scenario13,1
scenario14,1
scenario15,1
scenario16,1
scenario17,1
scenario18,1
scenario19,1
scenario20,1
scenario21,1
scenario22,0
scenario23,1
scenario24,1
scenario25,1
scenario26,1
scenario27,1
scenario28,1
scenario29,1
scenario30,1
scenario31,1
scenario32,0
scenario33,0
scenario34,1
scenario35,1
scenario36,1
scenario37,1
scenario38,1
scenario39,1
scenario40,1
scenario41,1
scenario42,1
scenario43,1
scenario44,1
scenario45,1
scenario46,1
scenario47,0
scenario48,0
scenario49,1
scenario50,1
scenario51,1
scenario52,1
scenario53,1
scenario54,1
scenario55,1
scenario56,1
scenario57,1
scenario58,1
scenario59,1
scenario60,1
scenario61,0
scenario62,1
scenario63,1
scenario64,1
scenario65,1
scenario66,1
scenario67,1
scenario68,0
scenario69,1
scenario70,1
scenario71,1
scenario72,1
scenario73,1
scenario74,1
scenario75,1
scenario76,1
scenario77,1
scenario78,1
scenario79,1
scenario80,1
scenario81,1
scenario82,0
scenario83,1
scenario84,1
scenario85,1
scenario86,1
scenario87,1
scenario88,1
scenario89,1
scenario90,0
scenario91,1
scenario92,1
scenario93,1
scenario94,1
scenario95,1
scenario96,1
scenario97,1
scenario98,1
scenario99,1
scenario100,1
scenario101,1
scenario102,1
scenario103,1
scenario104,1
scenario105,1
scenario106,1
scenario107,1
scenario108,1
scenario109,1
scenario110,1
scenario111,1
scenario112,1
scenario113,1
scenario114,1
scenario115,1
scenario116,1
scenario117,1
scenario118,1
scenario119,1
scenario120,1
scenario121,1
scenario122,1
scenario123,1
scenario124,1
scenario125,1
scenario126,1
scenario127,1
scenario128,1
scenario129,1
scenario130,0
scenario131,1
scenario132,1
scenario133,1
scenario134,1
scenario135,1
scenario136,1
scenario137,1
scenario138,0
scenario139,1
scenario140,1
scenario141,1
scenario142,1
scenario143,0
scenario144,1
scenario145,1
scenario146,1
scenario147,1
scenario148,1
scenario149,1
scenario150,1
scenario151,1
scenario152,1
scenario153,1
scenario154,0
scenario155,0
scenario156,1
scenario157,1
scenario158,0
scenario159,1
scenario160,1
scenario161,0
scenario162,1
scenario163,1
scenario164,1
scenario165,0
scenario166,1
scenario167,1
scenario168,1
scenario169,1
scenario170,1
scenario171,1
scenario172,0
scenario173,1
scenario174,1
scenario175,1
scenario176,1
scenario177,1
scenario178,1
scenario179,1
scenario180,1
scenario181,1
scenario182,0
scenario183,1
scenario184,0
scenario185,0
scenario186,1
scenario187,0
scenario188,1
scenario189,1
scenario190,1
scenario191,1
scenario192,1
scenario193,0
scenario194,1
scenario195,1
scenario196,1
scenario197,0
scenario198,0
scenario199,0
scenario200,1
scenario201,0
scenario202,0
scenario203,1
scenario204,1
scenario205,1
scenario206,1
scenario207,0
scenario208,1
scenario209,1
scenario210,0
scenario211,1
scenario212,1
scenario213,1
scenario214,1
scenario215,0
scenario216,1
scenario217,1
scenario218,0
scenario219,1
scenario220,1
scenario221,1
scenario222,1
scenario223,0
scenario224,0
scenario225,1
scenario226,0
scenario227,0
scenario228,1
scenario229,1
scenario230,1
scenario231,1
scenario232,1
scenario233,1
scenario234,0
scenario235,1
scenario236,1
scenario237,1
scenario238,1
scenario239,1
scenario240,1
scenario241,0
scenario242,1
scenario243,1
scenario244,1
scenario245,1
scenario246,1
scenario247,0
scenario248,1
scenario249,1
scenario250,1
scenario251,0
scenario252,1
scenario253,0
scenario254,1
scenario255,0
scenario256,1
scenario257,1
scenario258,1
scenario259,1
scenario260,1
scenario261,0
scenario262,1
scenario263,1
scenario264,1
scenario265,1
scenario266,0
scenario267,1
scenario268,1
scenario269,1
scenario270,0
scenario271,1
scenario272,1
scenario273,1
scenario274,0
scenario275,1
scenario276,0
scenario277,1
scenario278,1
scenario279,1
scenario280,1
scenario281,1
scenario282,1
scenario283,1
scenario284,0
scenario285,1
scenario286,1
scenario287,0
scenario288,0
scenario289,0
scenario290,1
scenario291,1
scenario292,1
scenario293,1
scenario294,0
scenario295,1
scenario296,0
scenario297,1
scenario298,1
scenario299,1
scenario300,1
scenario301,1
scenario302,1
scenario303,1
scenario304,0
scenario305,1
scenario306,0
scenario307,1
scenario308,0
scenario309,1
scenario310,0
scenario311,1
scenario312,1
scenario313,1
scenario314,0
scenario315,1
scenario316,1
scenario317,0
scenario318,1
scenario319,1
scenario320,1
scenario321,1
scenario322,0
scenario323,1
scenario324,1
scenario325,1
scenario326,0
scenario327,1
scenario328,1
scenario329,1
scenario330,1
scenario331,1
scenario332,0
scenario333,1
scenario334,0
scenario335,1
scenario336,1
scenario337,1
scenario338,1
scenario339,1
scenario340,1
scenario341,1
scenario342,1
scenario343,1
scenario344,1
scenario345,1
scenario346,1
scenario347,1
scenario348,1
scenario349,1
scenario350,1
scenario351,1
scenario352,1
scenario353,1
scenario354,1
scenario355,1
scenario356,0
scenario357,1
scenario358,1
scenario359,1
scenario360,1
scenario361,1
scenario362,1
scenario363,1
scenario364,1
scenario365,0
scenario366,1
scenario367,1
scenario368,1
scenario369,1
scenario370,1
scenario371,0
scenario372,1
scenario373,1
scenario374,1
scenario375,1
scenario376,1
scenario377,1
scenario378,1
scenario379,1
scenario380,1
scenario381,1
scenario382,0
scenario383,1
scenario384,0
scenario385,1
scenario386,1
scenario387,1
scenario388,1
scenario389,0
scenario390,1
scenario391,0
scenario392,1
scenario393,1
scenario394,1
scenario395,0
scenario396,0
scenario397,0
scenario398,1
scenario399,0
scenario400,1
scenario401,1
scenario402,0
scenario403,1
scenario404,1
scenario405,1
scenario406,0
scenario407,1
scenario408,1
scenario409,0
scenario410,1
scenario411,1
scenario412,1
scenario413,0
scenario414,1
scenario415,1
scenario416,1
scenario417,1
scenario418,1
scenario419,0
scenario420,1
scenario421,1
scenario422,1
scenario423,1
scenario424,0
scenario425,1
scenario426,1
scenario427,1
scenario428,1
scenario429,1
